,rn_numbers,top_labels
75,RG-50.030.0092,"[('camp', 15.4), ('government', 8.9), ('fear', 8.3)]"
76,RG-50.030.0093,"[('family', 13.7), ('food', 10.3), ('camp', 10.1)]"
77,RG-50.030.0094,"[('family', 10.5), ('camp', 7.2), ('food', 7.2)]"
78,RG-50.030.0095,"[('family', 10.1), ('camp', 8.7), ('food', 7.2)]"
79,RG-50.030.0096,"[('camp', 14.4), ('prisoners', 8.5), ('family', 7.8)]"
80,RG-50.030.0097,"[('camp', 12.8), ('family', 10.5), ('government', 7.7)]"
81,RG-50.030.0098,"[('camp', 12.5), ('fear', 9.6), ('family', 8.3)]"
82,RG-50.030.0099,"[('government', 13.1), ('camp', 11.8), ('hospital', 9.4)]"
83,RG-50.030.0100,"[('camp', 25.9), ('government', 9.3), ('family', 6.9)]"
84,RG-50.030.0101,"[('camp', 13.0), ('family', 10.3), ('religion', 6.2)]"
85,RG-50.030.0102,"[('family', 17.4), ('camp', 11.0), ('food', 7.8)]"
86,RG-50.030.0103,"[('government', 16.2), ('camp', 8.2), ('family', 7.6)]"
87,RG-50.030.0104,"[('camp', 15.6), ('family', 9.1), ('hospital', 7.4)]"
88,RG-50.030.0105,"[('camp', 11.4), ('fear', 10.2), ('family', 7.7)]"
89,RG-50.030.0106,"[('war', 15.0), ('camp', 13.7), ('government', 11.1)]"
90,RG-50.030.0107,"[('family', 15.7), ('food', 13.1), ('camp', 11.3)]"
91,RG-50.030.0108,"[('camp', 15.9), ('family', 12.3), ('food', 7.2)]"
92,RG-50.030.0109,"[('camp', 17.8), ('family', 9.9), ('fear', 8.1)]"
93,RG-50.030.0110,"[('family', 10.6), ('camp', 9.0), ('army', 7.0)]"
94,RG-50.030.0111,"[('family', 11.3), ('camp', 10.7), ('food', 6.9)]"
95,RG-50.030.0112,"[('camp', 16.6), ('government', 8.1), ('fear', 5.7)]"
96,RG-50.030.0113,"[('camp', 12.2), ('food', 8.8), ('family', 6.7)]"
97,RG-50.030.0114,"[('family', 15.2), ('food', 9.0), ('camp', 7.0)]"
98,RG-50.030.0115,"[('camp', 23.0), ('government', 9.4), ('family', 6.3)]"
99,RG-50.030.0116,"[('food', 11.4), ('camp', 11.2), ('family', 9.1)]"
100,RG-50.030.0118,"[('camp', 14.1), ('food', 7.4), ('ghetto', 6.7)]"
101,RG-50.030.0119,"[('camp', 14.2), ('government', 12.2), ('family', 8.3)]"
102,RG-50.030.0120,"[('camp', 13.0), ('family', 10.6), ('school', 7.7)]"
103,RG-50.030.0122,"[('camp', 11.1), ('family', 10.9), ('war', 6.4)]"
104,RG-50.030.0123,"[('family', 13.6), ('food', 9.5), ('camp', 8.7)]"
105,RG-50.030.0124,"[('fear', 8.7), ('camp', 7.5), ('family', 7.5)]"
106,RG-50.030.0126,"[('family', 10.9), ('camp', 10.6), ('hiding', 10.3)]"
107,RG-50.030.0127,"[('family', 14.5), ('camp', 8.7), ('food', 6.7)]"
108,RG-50.030.0128,"[('camp', 12.5), ('family', 11.2), ('food', 7.2)]"
109,RG-50.030.0129,"[('camp', 18.5), ('fear', 10.0), ('family', 6.1)]"
110,RG-50.030.0130,"[('camp', 12.6), ('family', 9.9), ('food', 9.7)]"
111,RG-50.030.0131,"[('food', 13.4), ('camp', 11.9), ('family', 10.5)]"
112,RG-50.030.0132,"[('camp', 10.2), ('food', 8.8), ('family', 7.6)]"
113,RG-50.030.0133,"[('family', 15.5), ('camp', 10.8), ('food', 9.8)]"
114,RG-50.030.0134,"[('camp', 13.5), ('family', 10.2), ('food', 8.9)]"
115,RG-50.030.0135,"[('family', 11.9), ('camp', 8.1), ('food', 7.2)]"
116,RG-50.030.0136,"[('family', 16.2), ('camp', 9.6), ('school', 7.5)]"
117,RG-50.030.0137,"[('family', 13.1), ('camp', 11.1), ('war', 8.0)]"
118,RG-50.030.0138,"[('camp', 8.6), ('family', 8.5), ('food', 7.3)]"
119,RG-50.030.0139,"[('camp', 17.2), ('family', 10.0), ('food', 7.1)]"
120,RG-50.030.0140,"[('camp', 9.6), ('fear', 8.7), ('food', 8.4)]"
121,RG-50.030.0141,"[('camp', 14.7), ('food', 11.0), ('family', 7.9)]"
122,RG-50.030.0142,"[('camp', 16.3), ('food', 8.3), ('family', 8.2)]"
123,RG-50.030.0143,"[('government', 15.7), ('family', 11.3), ('camp', 8.8)]"
124,RG-50.030.0144,"[('camp', 18.8), ('survive', 11.9), ('war', 9.2)]"
125,RG-50.030.0145,"[('camp', 10.0), ('food', 6.9), ('war', 6.8)]"
126,RG-50.030.0146,"[('family', 12.9), ('food', 8.5), ('camp', 8.1)]"
127,RG-50.030.0147,"[('family', 14.1), ('camp', 12.5), ('school', 8.6)]"
128,RG-50.030.0148,"[('camp', 12.8), ('family', 12.2), ('war', 6.3)]"
129,RG-50.030.0149,"[('camp', 10.7), ('family', 10.6), ('war', 7.8)]"
130,RG-50.030.0150,"[('camp', 12.7), ('family', 8.6), ('food', 7.3)]"
131,RG-50.030.0151,"[('camp', 10.0), ('family', 10.0), ('war', 8.7)]"
132,RG-50.030.0152,"[('family', 10.3), ('camp', 8.4), ('fear', 5.8)]"
133,RG-50.030.0154,"[('camp', 15.3), ('family', 9.9), ('fear', 6.9)]"
134,RG-50.030.0155,"[('camp', 12.9), ('family', 9.3), ('government', 7.8)]"
135,RG-50.030.0157,"[('food', 11.3), ('family', 10.2), ('camp', 10.0)]"
136,RG-50.030.0158,"[('family', 15.7), ('camp', 13.4), ('school', 11.8)]"
137,RG-50.030.0159,"[('camp', 11.1), ('family', 8.4), ('Jewish', 8.2)]"
138,RG-50.030.0161,"[('camp', 11.7), ('family', 8.7), ('war', 7.6)]"
139,RG-50.030.0162,"[('camp', 15.9), ('family', 11.2), ('army', 7.8)]"
140,RG-50.030.0163,"[('family', 14.2), ('camp', 8.8), ('Jewish', 7.8)]"
141,RG-50.030.0164,"[('camp', 12.6), ('family', 9.8), ('food', 8.9)]"
142,RG-50.030.0165,"[('food', 14.4), ('family', 11.7), ('camp', 11.4)]"
143,RG-50.030.0166,"[('camp', 13.5), ('family', 9.4), ('food', 7.2)]"
144,RG-50.030.0167,"[('government', 12.5), ('camp', 10.2), ('family', 8.5)]"
145,RG-50.030.0168,"[('food', 14.6), ('family', 13.0), ('camp', 9.3)]"
146,RG-50.030.0170,"[('family', 11.7), ('government', 9.4), ('camp', 8.3)]"
147,RG-50.030.0171,"[('camp', 12.3), ('family', 9.0), ('fear', 8.0)]"
148,RG-50.030.0172,"[('camp', 17.2), ('family', 10.6), ('fear', 8.2)]"
149,RG-50.030.0174,"[('family', 13.7), ('camp', 13.4), ('war', 7.1)]"
150,RG-50.030.0175,"[('camp', 11.2), ('family', 10.3), ('food', 8.8)]"
151,RG-50.030.0176,"[('camp', 12.6), ('family', 11.1), ('food', 8.9)]"
152,RG-50.030.0177,"[('camp', 10.4), ('food', 8.4), ('family', 7.6)]"
153,RG-50.030.0178,"[('government', 12.3), ('camp', 7.9), ('hospital', 7.1)]"
154,RG-50.030.0180,"[('family', 13.1), ('camp', 9.8), ('food', 7.5)]"
155,RG-50.030.0181,"[('camp', 12.1), ('family', 11.0), ('army', 7.8)]"
156,RG-50.030.0182,"[('camp', 12.0), ('family', 10.1), ('war', 6.1)]"
157,RG-50.030.0183,"[('camp', 15.0), ('family', 12.8), ('food', 8.6)]"
158,RG-50.030.0184,"[('family', 12.8), ('food', 9.9), ('camp', 9.2)]"
159,RG-50.030.0185,"[('camp', 10.4), ('family', 9.2), ('aid', 8.2)]"
160,RG-50.030.0186,"[('family', 16.0), ('camp', 11.3), ('school', 10.0)]"
161,RG-50.030.0187,"[('camp', 16.7), ('family', 9.7), ('food', 8.5)]"
162,RG-50.030.0188,"[('fear', 10.7), ('camp', 10.4), ('family', 9.8)]"
163,RG-50.030.0191,"[('camp', 13.9), ('family', 8.8), ('government', 8.4)]"
164,RG-50.030.0192,"[('family', 11.5), ('camp', 8.9), ('food', 7.9)]"
165,RG-50.030.0194,"[('family', 10.7), ('school', 10.5), ('camp', 8.2)]"
166,RG-50.030.0195,"[('camp', 10.9), ('family', 10.6), ('hospital', 5.7)]"
167,RG-50.030.0196,"[('family', 13.0), ('camp', 11.4), ('fear', 9.2)]"
168,RG-50.030.0197,"[('family', 13.8), ('camp', 9.2), ('fear', 8.4)]"
169,RG-50.030.0199,"[('family', 11.6), ('camp', 8.3), ('food', 7.9)]"
170,RG-50.030.0200,"[('camp', 15.4), ('war', 6.2), ('hunger', 5.9)]"
171,RG-50.030.0201,"[('family', 10.4), ('camp', 8.1), ('war', 7.7)]"
172,RG-50.030.0202,"[('family', 14.3), ('camp', 13.3), ('religion', 6.5)]"
173,RG-50.030.0203,"[('camp', 13.7), ('family', 13.3), ('fear', 9.2)]"
174,RG-50.030.0204,"[('camp', 9.7), ('religion', 8.3), ('family', 8.2)]"
175,RG-50.030.0205,"[('camp', 11.5), ('food', 8.4), ('war', 7.3)]"
176,RG-50.030.0206,"[('family', 10.3), ('camp', 10.2), ('food', 8.6)]"
177,RG-50.030.0207,"[('family', 12.3), ('war', 9.8), ('camp', 8.3)]"
178,RG-50.030.0208,"[('camp', 16.8), ('family', 8.7), ('fear', 6.6)]"
179,RG-50.030.0210,"[('camp', 18.5), ('family', 8.8), ('Jewish', 6.5)]"
180,RG-50.030.0211,"[('family', 10.0), ('food', 7.5), ('camp', 7.1)]"
181,RG-50.030.0212,"[('camp', 16.6), ('family', 9.8), ('fear', 6.7)]"
182,RG-50.030.0215,"[('government', 15.5), ('camp', 8.2), ('food', 6.2)]"
183,RG-50.030.0216,"[('work', 9.4), ('family', 9.1), ('camp', 8.6)]"
184,RG-50.030.0217,"[('Jewish', 10.5), ('buildings', 9.0), ('camp', 8.2)]"
185,RG-50.030.0218,"[('camp', 12.3), ('family', 10.3), ('food', 5.6)]"
186,RG-50.030.0220,"[('family', 10.9), ('camp', 10.2), ('fear', 5.8)]"
187,RG-50.030.0222,"[('camp', 13.9), ('family', 12.9), ('food', 9.0)]"
188,RG-50.030.0223,"[('camp', 18.6), ('school', 8.5), ('government', 7.9)]"
189,RG-50.030.0224,"[('family', 13.1), ('food', 11.3), ('camp', 8.7)]"
190,RG-50.030.0225,"[('camp', 14.3), ('family', 14.0), ('food', 9.0)]"
191,RG-50.030.0227,"[('camp', 11.4), ('family', 11.1), ('government', 7.1)]"
192,RG-50.030.0228,"[('camp', 10.1), ('family', 9.6), ('government', 9.0)]"
193,RG-50.030.0229,"[('government', 13.1), ('camp', 10.3), ('family', 9.9)]"
194,RG-50.030.0231,"[('family', 13.0), ('camp', 10.0), ('religion', 7.4)]"
195,RG-50.030.0232,"[('camp', 28.6), ('ghetto', 8.1), ('fear', 7.6)]"
196,RG-50.030.0233,"[('camp', 12.3), ('family', 10.0), ('food', 6.9)]"
197,RG-50.030.0234,"[('government', 16.0), ('relocation', 9.0), ('camp', 7.9)]"
198,RG-50.030.0235,"[('camp', 15.7), ('family', 8.7), ('religion', 8.4)]"
199,RG-50.030.0236,"[('camp', 10.5), ('fear', 9.0), ('family', 8.2)]"
200,RG-50.030.0238,"[('family', 12.1), ('camp', 11.6), ('war', 6.7)]"
201,RG-50.030.0240,"[('camp', 15.4), ('family', 9.3), ('food', 6.7)]"
202,RG-50.030.0241,"[('family', 11.1), ('camp', 9.4), ('food', 9.2)]"
203,RG-50.030.0242,"[('family', 11.5), ('fear', 8.5), ('camp', 6.3)]"
204,RG-50.030.0243,"[('camp', 8.4), ('fear', 8.1), ('government', 7.5)]"
205,RG-50.030.0244,"[('camp', 20.1), ('family', 8.8), ('fear', 7.1)]"
206,RG-50.030.0245,"[('camp', 18.5), ('family', 7.3), ('food', 7.3)]"
207,RG-50.030.0246,"[('camp', 13.3), ('food', 9.6), ('family', 8.4)]"
208,RG-50.030.0248,"[('camp', 14.3), ('family', 12.9), ('food', 10.1)]"
209,RG-50.030.0249,"[('family', 14.0), ('camp', 11.1), ('food', 6.9)]"
210,RG-50.030.0250,"[('camp', 15.1), ('fear', 9.8), ('family', 9.7)]"
211,RG-50.030.0251,"[('camp', 13.0), ('family', 12.0), ('food', 8.1)]"
212,RG-50.030.0252,"[('camp', 15.2), ('family', 7.4), ('government', 6.5)]"
213,RG-50.030.0253,"[('camp', 16.0), ('prisoners', 7.9), ('shooting', 6.7)]"
214,RG-50.030.0254,"[('camp', 8.8), ('family', 8.8), ('army', 7.5)]"
215,RG-50.030.0255,"[('camp', 11.6), ('family', 9.5), ('war', 8.7)]"
216,RG-50.030.0256,"[('camp', 18.8), ('family', 9.3), ('government', 7.8)]"
217,RG-50.030.0257,"[('government', 14.6), ('camp', 10.5), ('fear', 7.1)]"
218,RG-50.030.0257,"[('government', 15.1), ('camp', 11.4), ('fear', 6.0)]"
219,RG-50.030.0258,"[('camp', 11.6), ('food', 10.0), ('family', 7.2)]"
220,RG-50.030.0259,"[('family', 10.0), ('food', 9.6), ('camp', 8.4)]"
221,RG-50.030.0260,"[('family', 14.0), ('camp', 12.4), ('food', 8.1)]"
222,RG-50.030.0262,"[('family', 11.8), ('camp', 11.5), ('food', 6.4)]"
223,RG-50.030.0263,"[('family', 13.5), ('government', 12.7), ('camp', 7.8)]"
224,RG-50.030.0264,"[('family', 11.2), ('camp', 10.7), ('Jewish', 7.7)]"
225,RG-50.030.0265,"[('family', 10.3), ('camp', 7.7), ('fear', 7.0)]"
226,RG-50.030.0266,"[('camp', 16.9), ('family', 8.7), ('government', 6.3)]"
227,RG-50.030.0268,"[('camp', 11.6), ('family', 9.6), ('war', 8.3)]"
228,RG-50.030.0269,"[('government', 10.8), ('camp', 9.5), ('family', 8.7)]"
229,RG-50.030.0270,"[('camp', 14.6), ('family', 9.8), ('food', 9.8)]"
230,RG-50.030.0271,"[('camp', 14.5), ('prisoners', 10.4), ('food', 6.7)]"
231,RG-50.030.0272,"[('family', 16.0), ('camp', 12.3), ('school', 8.0)]"
232,RG-50.030.0273,"[('camp', 12.0), ('family', 11.5), ('food', 8.1)]"
233,RG-50.030.0275,"[('camp', 15.1), ('family', 13.5), ('food', 10.8)]"
234,RG-50.030.0276,"[('camp', 12.4), ('family', 9.6), ('food', 8.4)]"
235,RG-50.030.0277,"[('family', 9.4), ('government', 8.0), ('camp', 7.7)]"
236,RG-50.030.0279,"[('family', 13.6), ('camp', 9.7), ('ghetto', 7.8)]"
237,RG-50.030.0280,"[('family', 11.8), ('camp', 10.7), ('food', 6.6)]"
238,RG-50.030.0281,"[('camp', 10.0), ('family', 10.0), ('food', 8.4)]"
239,RG-50.030.0282,"[('camp', 17.9), ('war', 8.2), ('family', 6.2)]"
240,RG-50.030.0283,"[('family', 13.7), ('camp', 12.3), ('food', 9.6)]"
241,RG-50.030.0284,"[('camp', 11.6), ('food', 7.5), ('Jewish', 7.5)]"
242,RG-50.030.0286,"[('family', 11.2), ('camp', 11.1), ('school', 10.9)]"
243,RG-50.030.0287,"[('family', 15.4), ('camp', 13.4), ('food', 8.2)]"
244,RG-50.030.0288,"[('camp', 17.2), ('food', 10.6), ('family', 5.7)]"
245,RG-50.030.0289,"[('camp', 13.4), ('ghetto', 7.7), ('family', 7.0)]"
246,RG-50.030.0290,"[('camp', 16.4), ('family', 10.9), ('food', 6.9)]"
247,RG-50.030.0291,"[('camp', 11.5), ('food', 10.2), ('family', 9.3)]"
248,RG-50.030.0292,"[('food', 17.7), ('Jewish', 8.9), ('camp', 8.0)]"
249,RG-50.030.0293,"[('family', 13.0), ('camp', 8.6), ('food', 7.2)]"
250,RG-50.030.0294,"[('family', 10.9), ('food', 7.8), ('camp', 7.2)]"
251,RG-50.030.0295,"[('family', 12.8), ('camp', 11.6), ('Jewish', 7.5)]"
252,RG-50.030.0296,"[('camp', 15.7), ('family', 11.8), ('food', 6.8)]"
253,RG-50.030.0298,"[('family', 13.2), ('camp', 9.2), ('Jewish', 7.1)]"
254,RG-50.030.0299,"[('family', 9.6), ('camp', 8.4), ('food', 6.9)]"
255,RG-50.030.0301,"[('camp', 11.5), ('government', 10.5), ('family', 9.2)]"
256,RG-50.030.0302,"[('family', 10.6), ('camp', 10.2), ('food', 8.8)]"
257,RG-50.030.0303,"[('camp', 14.4), ('family', 10.3), ('food', 9.3)]"
258,RG-50.030.0305,"[('camp', 13.4), ('government', 10.2), ('family', 9.2)]"
259,RG-50.030.0306,"[('camp', 16.8), ('family', 9.8), ('government', 6.3)]"
260,RG-50.030.0307,"[('government', 10.2), ('family', 8.4), ('camp', 7.8)]"
261,RG-50.030.0310,"[('family', 14.7), ('camp', 11.7), ('school', 9.9)]"
262,RG-50.030.0311,"[('family', 9.8), ('camp', 7.9), ('food', 6.8)]"
263,RG-50.030.0314,"[('family', 11.4), ('camp', 11.0), ('food', 7.6)]"
264,RG-50.030.0316,"[('hospital', 12.6), ('camp', 8.1), ('family', 7.4)]"
265,RG-50.030.0317,"[('family', 9.4), ('government', 9.4), ('camp', 7.3)]"
266,RG-50.030.0318,"[('family', 11.1), ('camp', 9.8), ('government', 6.9)]"
267,RG-50.030.0320,"[('camp', 16.7), ('family', 11.8), ('fear', 7.6)]"
268,RG-50.030.0322,"[('family', 9.8), ('food', 8.5), ('camp', 7.6)]"
269,RG-50.030.0324,"[('camp', 15.4), ('food', 8.6), ('government', 8.1)]"
270,RG-50.030.0325,"[('family', 13.6), ('camp', 13.3), ('war', 7.0)]"
271,RG-50.030.0326,"[('camp', 15.9), ('fear', 9.5), ('family', 9.4)]"
272,RG-50.030.0329,"[('family', 11.9), ('fear', 9.2), ('camp', 7.9)]"
273,RG-50.030.0330,"[('government', 19.1), ('camp', 12.1), ('war', 5.6)]"
274,RG-50.030.0331,"[('family', 13.4), ('camp', 9.7), ('army', 6.2)]"
275,RG-50.030.0332,"[('family', 13.8), ('camp', 13.6), ('food', 9.0)]"
276,RG-50.030.0334,"[('family', 10.1), ('camp', 9.5), ('food', 8.8)]"
277,RG-50.030.0335,"[('family', 10.8), ('religion', 10.1), ('camp', 9.4)]"
278,RG-50.030.0336,"[('food', 22.6), ('government', 12.9), ('camp', 8.9)]"
279,RG-50.030.0337,"[('camp', 10.3), ('war', 10.0), ('family', 9.0)]"
280,RG-50.030.0339,"[('family', 12.2), ('religion', 8.5), ('camp', 7.1)]"
281,RG-50.030.0341,"[('camp', 9.9), ('food', 8.1), ('family', 8.0)]"
282,RG-50.030.0342,"[('family', 18.3), ('food', 8.2), ('camp', 6.7)]"
283,RG-50.030.0343,"[('government', 14.2), ('religion', 11.1), ('camp', 9.9)]"
284,RG-50.030.0344,"[('camp', 23.3), ('family', 11.0), ('ghetto', 7.7)]"
285,RG-50.030.0345,"[('camp', 14.3), ('food', 10.9), ('family', 8.4)]"
286,RG-50.030.0346,"[('camp', 11.6), ('family', 9.6), ('food', 8.6)]"
287,RG-50.030.0347,"[('camp', 17.2), ('family', 11.4), ('food', 7.8)]"
288,RG-50.030.0348,"[('camp', 16.0), ('family', 11.0), ('food', 8.0)]"
289,RG-50.030.0349,"[('family', 9.9), ('camp', 9.5), ('food', 9.3)]"
290,RG-50.030.0351,"[('family', 14.6), ('camp', 14.2), ('food', 8.5)]"
291,RG-50.030.0352,"[('family', 13.1), ('camp', 11.4), ('school', 8.9)]"
292,RG-50.030.0353,"[('camp', 17.2), ('family', 12.6), ('war', 6.2)]"
293,RG-50.030.0356,"[('family', 13.8), ('school', 12.2), ('camp', 9.4)]"
294,RG-50.030.0357,"[('family', 11.8), ('camp', 9.3), ('food', 7.3)]"
295,RG-50.030.0358,"[('food', 11.9), ('camp', 10.6), ('family', 8.9)]"
296,RG-50.030.0359,"[('family', 10.7), ('camp', 9.8), ('fear', 8.3)]"
297,RG-50.030.0360,"[('family', 15.6), ('camp', 9.5), ('school', 9.3)]"
298,RG-50.030.0362,"[('family', 14.7), ('camp', 11.8), ('food', 6.4)]"
299,RG-50.030.0363,"[('camp', 13.4), ('family', 8.8), ('ghetto', 6.8)]"
300,RG-50.030.0365,"[('camp', 15.5), ('family', 13.0), ('ghetto', 7.8)]"
301,RG-50.030.0366,"[('camp', 15.2), ('family', 14.5), ('food', 8.4)]"
302,RG-50.030.0367,"[('camp', 16.5), ('family', 13.0), ('food', 7.8)]"
303,RG-50.030.0368,"[('camp', 15.9), ('family', 12.3), ('food', 8.6)]"
304,RG-50.030.0370,"[('camp', 15.4), ('family', 11.3), ('food', 6.8)]"
305,RG-50.030.0371,"[('government', 15.9), ('camp', 9.4), ('family', 9.1)]"
306,RG-50.030.0372,"[('family', 15.7), ('camp', 14.1), ('food', 7.9)]"
307,RG-50.030.0373,"[('family', 12.4), ('camp', 9.2), ('war', 7.2)]"
308,RG-50.030.0374,"[('family', 12.8), ('camp', 10.4), ('war', 6.9)]"
309,RG-50.030.0375,"[('camp', 12.3), ('family', 11.6), ('food', 7.5)]"
310,RG-50.030.0377,"[('camp', 8.3), ('government', 8.0), ('army', 7.9)]"
311,RG-50.030.0378,"[('camp', 13.9), ('family', 11.1), ('government', 9.6)]"
312,RG-50.030.0379,"[('food', 10.5), ('family', 9.7), ('camp', 8.6)]"
313,RG-50.030.0380,"[('camp', 17.8), ('food', 11.3), ('army', 8.3)]"
